_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
"""8b19da4400111a0d63c0d9135b573823""","""760f8b3ac86e3ac286c6e0d4bdd9a039""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 9-12,,,,,846.35,1032.13,0,846.35,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""4f93f03be059a8772af8cd769d3d4d3c""","""e5d28482308e2007992ae8b358b31bce""","""9bc7d4d92193a453669b6e2a56128e87""",3.60E+11,40.701778,-74.01184,New York,NY,10004,urban,Other,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Performing Arts,Music & The Arts,,,Other,highest poverty,Grades 9-12,,,,,300,365.85,0,300,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""eef82859f1dd503d0e6d5b3fa4aa3e2c""","""8fb8a281a46527b9e7ea45b920c7bc30""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,History & Geography,History & Civics,,,Technology,highest poverty,Grades 9-12,,,,,4000,4878.05,0,4600,2,f,f,completed,1/18/2003,4/18/2003,8/28/2003,12/31/2003
"""f38c2d5f55f4078ebb5f0697909f0f42""","""964aa5f2734897fbd99ac5f2891d3f8c""","""eab5debe9b88fbb9b15fef83033e1052""",3.60E+11,40.783325,-73.94593,New York,NY,10128,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades 6-8,,,,,335.27,408.87,0,335.27,1,f,f,completed,11/11/2002,12/9/2002,12/9/2002,12/31/2003
"""ec6717d760d37986332a79fbe04ec2c3""","""8fb8a281a46527b9e7ea45b920c7bc30""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,Extracurricular,Applied Learning,,,Supplies,highest poverty,Grades 9-12,,,,,230.89,281.57,0,253,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""17466db6d832881bab96f4725b9e1bfb""","""dab65ac402878a610353950ab66ec203""","""1ae4695be589a36816188e2b301a0395""",3.60E+11,40.765517,-73.96009,New York,NY,10065,,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Visual Arts,Music & The Arts,,,Other,highest poverty,Grades 9-12,,,,,350,426.83,0,350,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""f4a27a5e375c9a496672f82cba56ae95""","""5955995b38eba124a51b401f60ed9eea""","""5c5c444dd1bf31c3bdbcf4825a28e17f""",3.60E+11,40.768254,-73.988978,New York,NY,10019,urban,Empowerment Support Organization,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,,,Technology,highest poverty,Grades 9-12,,,,,2700,3292.68,0,2970,1,f,f,completed,10/3/2002,10/3/2002,1/6/2003,12/31/2003
"""52b04391f8e0284e4bcae5bb1f547547""","""ded4b1235dbdaedeb157c38621fcebdc""","""8c9ab8c021074381647582e111507219""",,40.826957,-73.892217,BRONX,NY,10459,,,Bronx,f,f,f,f,f,f,Ms.,f,f,Performing Arts,Music & The Arts,,,Supplies,low poverty,Grades 9-12,,,,,500,609.76,0,500,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""c97b3d603e499978c05d0392f0a6b386""","""263a93c35a3a52ea19abd302e189cf13""","""cb1ac51c57e5ecb8f9a5ab5204e94b8c""",3.60E+11,40.686829,-73.980842,Brooklyn,NY,11217,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,,,Trips,highest poverty,Grades 9-12,,,,,650,792.68,0,700,3,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""0cab719d819193626a1e5528110dc663""","""2e17c8c91cb58132d8103a9aa8797e80""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,Literature & Writing,Literacy & Language,,,Technology,highest poverty,Grades 9-12,,,,,527.4,643.17,0,590,9,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""57d68f35b13a19a10d597cfd07675d9b""","""f7fada7c19ac859803c3dcb0bdd48a1d""","""38ada3531c8f57cab78b0418bbc03e4e""",,40.649586,-73.958322,Brooklyn,NY,11226,,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mr.,f,f,Other,Applied Learning,,,Other,highest poverty,Grades PreK-2,,,,,0,0,0,0,0,f,f,expired,11/27/2002,,,7/27/2003
"""b24064984f054b05341c2b06f6b15a34""","""067ca75f07e29bc8daf2798531a7b14f""","""8c9ab8c021074381647582e111507219""",,40.826957,-73.892217,BRONX,NY,10459,,,Bronx,f,f,f,f,f,f,Ms.,f,f,Environmental Science,Math & Science,,,Trips,low poverty,Grades 9-12,,,,,750,914.63,0,1150,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""9a3f66830e21120ca1e066e7e174e72e""","""d1d684f1549f4e5b9693f02d28ed376b""","""ec26adc6baee71abbcebf7e6a42c22a2""",3.60E+11,40.72369,-73.981613,New York,NY,10009,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Visual Arts,Music & The Arts,,,Technology,highest poverty,Grades 9-12,,,,,761.16,928.24,0,1186,10,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""d1cffca7e85ba9d374d2c46ab8434cac""","""fff493aaf228cd88040d5ad73b7c6a1f""","""756e5d578f2c6482c287bd7219e65c7c""",3.60E+11,40.684944,-73.947306,Brooklyn,NY,11216,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,,,Trips,highest poverty,Grades 9-12,,,,,750,914.63,0,750,12,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""9a6f4fb43bf27ee1af4e675841d6dd23""","""5d11379c28c7a4103287d0b21b607ca0""","""60d87aa721f3a17c062891cf7fe1299c""",3.60E+11,40.838261,-73.866051,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mrs.,f,f,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades PreK-2,,,,,502.5,612.8,0,502.5,1,f,f,completed,9/20/2002,9/20/2002,9/20/2002,12/31/2003
"""8aa59963a2a959cf2cd4f8b68f749ca8""","""ded4b1235dbdaedeb157c38621fcebdc""","""8c9ab8c021074381647582e111507219""",,40.826957,-73.892217,BRONX,NY,10459,,,Bronx,f,f,f,f,f,f,Ms.,f,f,Performing Arts,Music & The Arts,,,Trips,low poverty,Grades 9-12,,,,,150,182.93,0,165,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""f862edd7c13bfde390d8b66f0171cc70""","""f5234266e426c308dadb5af25ce74e4a""","""d69533a63cedb0497f4299b97e96288f""",3.60E+11,40.815367,-73.912122,Bronx,NY,10455,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Supplies,highest poverty,Grades 9-12,,,,,450,548.78,0,450,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""b4a5f1ba5b0819225643762ade88dd72""","""eefa0b2c594436b38db20d8b4cc6a3fe""","""923a1f4850d4e09ad5b8d015ae988505""",3.60E+11,40.74221,-74.002041,New York,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,History & Geography,History & Civics,,,Books,highest poverty,Grades 9-12,,,,,158.72,193.56,0,158.72,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""975dd11b6dfa0520daecd1ee335dc228""","""ed55d66251be5810b38e1b2505b7673d""","""923a1f4850d4e09ad5b8d015ae988505""",3.60E+11,40.74221,-74.002041,New York,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Health & Life Science,Math & Science,,,Books,highest poverty,Grades 9-12,,,,,170,207.32,0,187,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""38e05b2e108cc10f2a4f4b21bd6e5ff9""","""ed55d66251be5810b38e1b2505b7673d""","""923a1f4850d4e09ad5b8d015ae988505""",3.60E+11,40.74221,-74.002041,New York,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Foreign Languages,Literacy & Language,,,Books,highest poverty,Grades 9-12,,,,,920,1121.95,0,1058,1,f,f,completed,1/1/2003,12/2/2003,3/15/2004,12/31/2003
"""604341e5d93db54712bff09024d4222d""","""a47f99464090951afafe21d58774a193""","""92ac0ea419b86844846ee7d7cdc7a5a2""",,40.737121,-73.978164,NEW YORK,NY,10010,,,New York (Manhattan),f,f,f,f,f,f,Mrs.,f,f,Parent Involvement,Applied Learning,,,Trips,highest poverty,Grades 3-5,,,,,500,609.76,0,1227,8,f,f,completed,10/30/2002,12/6/2002,12/6/2002,12/31/2003
"""2fec51e7b14eedccea09bd92373f30c4""","""40d0ae2726a211df45d0c8049824e8be""","""c1f65ab7c03fb144d3cc435a9897e952""",,40.78072,-73.977585,NEW YORK,NY,10024,,,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,History & Geography,History & Civics,,,Trips,highest poverty,Grades 6-8,,,,,442,539.02,0,450,6,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""d7a7968d3cda39058b16611841426d1e""","""f7fada7c19ac859803c3dcb0bdd48a1d""","""38ada3531c8f57cab78b0418bbc03e4e""",,40.649586,-73.958322,Brooklyn,NY,11226,,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 9-12,,,,,1129.31,1377.21,0,1129.31,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""a17a01171ae845703f772bcfbab18301""","""8d121dc1072dfc9fa2a8aa28fcbf9b6a""","""ba54e9bfc11ea8b99c6b6517e3121101""",3.60E+11,40.688519,-73.971131,Brooklyn,NY,11205,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,t,f,f,Mr.,f,f,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades 6-8,,,,,9,10.98,0,1977.1,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""8808d1284cec0c35e17dfce89c98fd7e""","""e4484716b703f8699e57889efcc6c46b""","""8c9ab8c021074381647582e111507219""",,40.826957,-73.892217,BRONX,NY,10459,,,Bronx,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Technology,low poverty,Grades 9-12,,,,,839.85,1024.21,0,923,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""99e92c3093c439f95ebf6f2b813f197b""","""cf6bfb7d2c578bff4d077073945f0892""","""39ddbff0638271cd2eb7793af1c91237""",3.60E+11,40.81484,-73.945051,New York,NY,10030,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,History & Geography,History & Civics,,,Books,highest poverty,Grades 6-8,,,,,828.49,1010.35,0,828.49,1,f,f,completed,11/11/2002,1/25/2003,1/25/2003,12/31/2003
"""25706efb6d5d378ca46dc4b7b8f5b68e""","""02c6c4570185f59766ce6ee1b22dee2d""","""993e6202ffb7607f9b9ce616dd29140c""",3.60E+11,40.697353,-73.984512,Brooklyn,NY,11201,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades 6-8,,,,,226.79,276.57,0,249,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""3cb23d90d0bb0e0402e04bda08e1c214""","""f8f454eac0b20588cf3840b52539f685""","""4f677606ec1480ae4d2bc7764950352c""",3.60E+11,40.772614,-73.988358,New York,NY,10023,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Visual Arts,Music & The Arts,,,Technology,highest poverty,Grades 9-12,,,,,2273,2771.95,0,2614,1,f,f,completed,11/27/2002,4/8/2003,7/22/2003,12/31/2003
"""d1ed67288d7325aeeca2b9f6cb1c26e9""","""eefa0b2c594436b38db20d8b4cc6a3fe""","""923a1f4850d4e09ad5b8d015ae988505""",3.60E+11,40.74221,-74.002041,New York,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Parent Involvement,Applied Learning,,,Technology,highest poverty,Grades 9-12,,,,,344,419.51,0,378,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""44aca2d4e278d6a6f9744dcd6a8b37d9""","""1ecb553894e6232b49743abb34d154ed""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,,,Books,highest poverty,Grades 9-12,,,,,537.4,655.37,0,537.4,3,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""d4fda0779e1ea76a5ff5add3d7c86fe1""","""2e599a1f9944f16938964c1675628b48""","""cb1ac51c57e5ecb8f9a5ab5204e94b8c""",3.60E+11,40.686829,-73.980842,Brooklyn,NY,11217,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades 9-12,,,,,393.79,480.23,0,393.79,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""88a40e76c88106ff91fe34bd6424c1a3""","""9f1abbf9aa503997c046d6879fdd63ae""","""923a1f4850d4e09ad5b8d015ae988505""",3.60E+11,40.74221,-74.002041,New York,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,,,Books,highest poverty,Grades 6-8,,,,,349.41,426.11,0,384,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""0d0e9a5412e761193777f1121ad0ab75""","""9f1abbf9aa503997c046d6879fdd63ae""","""923a1f4850d4e09ad5b8d015ae988505""",3.60E+11,40.74221,-74.002041,New York,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,,,Technology,highest poverty,Grades 6-8,,,,,1825.75,2226.52,0,2008,1,f,f,completed,11/11/2002,1/25/2003,8/1/2003,12/31/2003
"""d74ac9e525b9c417e253718873f62474""","""bf5275c0bfa90db159b17d341debe82b""","""cd5a61e659612cd33873c20b2ea6d826""",3.60E+11,40.671779,-73.845126,Ozone Park,NY,11417,urban,New York City Dept Of Ed,Queens,f,t,f,f,f,f,Ms.,f,f,Parent Involvement,Applied Learning,,,Books,highest poverty,Grades 3-5,,,,,1200,1463.41,0,1200,2,f,f,completed,10/30/2002,12/6/2002,12/6/2002,12/31/2003
"""f97204e39f9e77d120cebfbd91acde77""","""dab65ac402878a610353950ab66ec203""","""1ae4695be589a36816188e2b301a0395""",3.60E+11,40.765517,-73.96009,New York,NY,10065,,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Visual Arts,Music & The Arts,,,Technology,highest poverty,Grades 9-12,,,,,960.25,1171.04,0,460.25,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""64950169d69beaf12bd1aeae6e839be6""","""e5d28482308e2007992ae8b358b31bce""","""9bc7d4d92193a453669b6e2a56128e87""",3.60E+11,40.701778,-74.01184,New York,NY,10004,urban,Other,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Environmental Science,Math & Science,,,Technology,highest poverty,Grades 9-12,,,,,2005.64,2445.9,0,2005.64,1,f,f,completed,11/11/2002,1/6/2003,12/18/2003,12/31/2003
"""8d0506795f2e65c241c55ca99ee58616""","""93b078f573ef1f750226d84d1dca0bd4""","""b5999531e0c1bb628ace29f3bd892e7c""",3.60E+11,40.850571,-73.93399,New York,NY,10033,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 3-5,,,,,567,691.46,0,603,2,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""03d608e367a89d09adab3cccd5cf94ed""","""e3751e935d13de6b37864194955d1548""","""aab7207b58c29df564e721b9bff5f4d9""",3.60E+11,40.66655,-73.911084,Brooklyn,NY,11212,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,,,Books,highest poverty,Grades PreK-2,,,,,102.69,125.23,0,112,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""45d6ba5942ced628956c51858b6602c9""","""eefa0b2c594436b38db20d8b4cc6a3fe""","""923a1f4850d4e09ad5b8d015ae988505""",3.60E+11,40.74221,-74.002041,New York,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,History & Geography,History & Civics,,,Supplies,highest poverty,Grades 9-12,,,,,154.22,188.07,0,169,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""e16c4053421708526abae49284fa7b3c""","""e3751e935d13de6b37864194955d1548""","""aab7207b58c29df564e721b9bff5f4d9""",3.60E+11,40.66655,-73.911084,Brooklyn,NY,11212,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,,,Books,highest poverty,Grades PreK-2,,,,,399,486.59,0,438,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""5f96fbc7b3370844d5f47468d1234e63""","""fedc7312fac70db43893744ace15f187""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Trips,highest poverty,Grades 9-12,,,,,530,646.34,0,530,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""2cef98b1de81c97e426362fdae727943""","""0c4f14642652f3fdd8f4ba887a4b9fc3""","""6f0382325857ae3469d04800c470c509""",,40.753002,-73.992409,New York,NY,10018,,,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Extracurricular,Applied Learning,,,Supplies,low poverty,Grades 3-5,,,,,124.19,151.45,0,136,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""3e70bf95f4542bdc9d5489f0a320e502""","""2b10153e6eeca26691f81d9180077ff5""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,Other,Applied Learning,,,Technology,highest poverty,Grades 9-12,,,,,222,270.73,0,222,2,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""cfc1abb1c821fb34cb9b7a8a0ee53847""","""9c3d76a44ae5d9ae1bf29ccd29550871""","""563b911be760a839557ea1ea4c8adab3""",,40.57746,-73.996832,Manhattan,NY,10001,,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,History & Geography,History & Civics,,,Trips,highest poverty,Grades 9-12,,,,,250,304.88,0,325,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""7b26e5ccb0cc0433ecf27945a26b44d2""","""fe541ee071a9efd5f753b5cd2d702ce2""","""9c7e5ceeabc970710da96e2bf8c61789""",,40.836655,-73.937113,NEW YORK,NY,10032,,,New York (Manhattan),f,f,f,f,f,f,Mr.,t,f,Applied Sciences,Math & Science,,,Technology,highest poverty,Grades 6-8,,,,,420,512.2,0,462,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""3f3dbeee71bc6af3b4594f8889188912""","""fe541ee071a9efd5f753b5cd2d702ce2""","""9c7e5ceeabc970710da96e2bf8c61789""",,40.836655,-73.937113,NEW YORK,NY,10032,,,New York (Manhattan),f,f,f,f,f,f,Mr.,t,f,Applied Sciences,Math & Science,,,Technology,highest poverty,Grades 6-8,,,,,840,1024.39,0,840,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""ad5760956194a58aa4a1e2e325b4fe97""","""1721969ce0202a333c659611021b59e9""","""25a6916107edd02ef794718deda02ba2""",3.60E+11,40.719657,-73.948446,Brooklyn,NY,11222,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Ms.,t,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 6-8,,,,,181.5,221.34,0,199,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""c0707be87aa7f4e7b796d606e0e2a742""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""",3.60E+11,40.829224,-73.856899,Bronx,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 3-5,,,,,180.14,219.68,0,198,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
